title,url,description,where_used,category
SEIU Local 99 Official Contract Announcement,https://www.seiu99.org/2023/05/19/see-everything-we-won-in-our-historic-contract/,Verified 30% wage increase for 30000 LAUSD workers with specific salary progression from $25000 to $33000 across multiple years,Talking Points / Campaigns (Earn More),Government Labor Agreement
LA City Council Tourism Wage Ordinance (NBC Coverage),https://www.nbclosangeles.com/news/local/la-city-council-tourism-wage-increase/3708138/,Documented escalating minimum wage schedule for hotel and airport workers reaching $30/hr by 2028 plus healthcare payments. NOTE: Ordinance currently suspended pending referendum as of late 2025.,Talking Points / Campaigns (Earn More),News Coverage
City of Los Angeles WorkSource Program,https://ewdd.lacity.gov/index.php/employment/worksource,Overview of 14 WorkSource Centers providing free career counseling training and job placement services across Los Angeles. Verified at 14 centers via EWDD official site.,Talking Points / Inventory (Earn More),Government Services
Mayor Bass Executive Directive 1 Fact Sheet,https://mayor.lacity.gov/node/1019,Streamlined approval process for 100% affordable housing. As of November 2025: 42300 units filed and 31700 approved per The Real Deal / Propmodo. Prior figure of 31000 in site content is slightly outdated.,Talking Points / Dashboard / Campaigns (Build More),Government Policy
Los Angeles Housing Department (LAHD) Programs,https://housing.lacity.gov/what-we-do,Verified over $300 million in ULA-funded construction programs for affordable housing production and maintenance of 19 FamilySource Centers,Talking Points / Campaigns / Dashboard (Build More / Care More),Government Services
LA Department of Water and Power Rate Information,https://www.ladwp.com/,Confirmed LADWP public utility serving 4 million residents with competitive rates and $41.5M annual Lifeline reimbursements for low-income seniors,Talking Points / Campaigns (Save More),Government Utility
Internal Revenue Service (IRS) EITC Information,https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit/,Established federal EITC maximum of $8046 combined with California CalEITC maximum of $3756 totaling approximately $11000 in potential tax credits for qualifying families,Talking Points / Campaigns (Save More),Government Tax Data
California Earned Income Tax Credit (CalEITC),https://www.ftb.ca.gov/personal-income-taxes/credits/california-earned-income-tax-credit.html,Verified California CalEITC maximum benefit of $3756 as component of combined $11000 family tax credit claim,Talking Points / Campaigns (Save More),Government Tax Data
LA Controller's Office,https://controller.lacity.gov/,Documented $41.5M annual average in Lifeline program reimbursements through independent fiscal audit and utility program oversight,Dashboard / Campaigns (Save More),Government Audit
Community Investment for Families Department (CIFD),https://communityinvestment.lacity.gov/departments-offices/cifd,Verified 19 FamilySource Centers providing case management legal aid job coaching and benefits access to families citywide,Talking Points / Dashboard / Inventory (Care More),Government Services
Los Angeles Homeless Services Authority (LAHSA) 2025 Count,https://www.lahsa.org/news?article=1043-homeless-count-2025-data-summaries,2025 Greater LA Homeless Count confirmed second consecutive annual decline: down 3.4% in city of LA and 4% countywide. County total 72308. City total 43699.,Talking Points / Dashboard (Care More),Government Data
RAND Corporation Research on Inside Safe,https://www.rand.org/pubs/research_reports/RRA948-2.html,Documented 49% decline in street homelessness in Hollywood specifically linked to Inside Safe program outcomes. NOTE: RAND also released a 2025 report flagging potential undercounting in LAHSA methodology.,Dashboard / Campaigns (Care More),Academic Research
Mayor Bass Tenant Protection Announcement,https://mayor.lacity.gov/news/making-la-more-affordable-mayor-bass-enacts-new-tenant-protections-caps-rent-apartment-units,Verified first comprehensive RSO overhaul in approximately 40 years capping annual rent increases at 1-4% effective February 2026,Talking Points / Campaigns (Protect More Rights),Government Policy
LA County Department of Consumer Affairs,https://dcba.lacounty.gov/,Documented Tenant Anti-Harassment Ordinance enforcement and renter protection resources preventing illegal displacement,Campaigns / Policy Shortlist (Protect More Rights),Government Legal Services
Centers for Disease Control (CDC) NCHS Maternal Mortality,https://www.cdc.gov/nchs/,Established 2024 national maternal mortality baseline of 44.8 per 100000 for Black women vs 14.2 per 100000 for white women,Policy Shortlist (Care More: Mayors for Moms),Government Health Data
NYC Department of Health Services,https://www.nyc.gov/site/doh/providers/public-health-facilities.page,Documented NYC Citywide Doula Initiative with $4 million investment serving 3245+ participants achieving zero maternal deaths among program participants,Policy Shortlist (Care More: Mayors for Moms),Government Health Program
NYC Comptroller Audit Report Database,https://comptroller.nyc.gov/reports/audit-reports,Verified NYC doula program cost-effectiveness and maternal health equity outcomes validating model for potential LA replication,Policy Shortlist (Care More: Mayors for Moms),Government Audit
NYC Economic Development Corporation,https://www.edc.nyc/,Established outcomes of NYC worker cooperative programs demonstrating feasibility of cooperative business development with public investment,Policy Shortlist (Earn More: Ownership Economy),Government Economic Development
Bureau of Labor Statistics Employment Data,https://www.bls.gov/,Confirmed 42000 entertainment industry job losses in Los Angeles between 2022-2024 representing 29% workforce reduction in motion picture sector,Policy Shortlist (Earn More: Ownership Economy),Government Labor Data
California Budget and Policy Center Housing Analysis,https://calbudgetcenter.org/issues/housing-homelessness/,Provided comparative context on California housing and homelessness policy funding trends informing recommendation development,General Reference,Policy Research
UCLA Center for Neighborhood Knowledge,https://knowledge.luskin.ucla.edu/,Offers empirical neighborhood-level housing data and policy analysis on LA housing affordability patterns and interventions,General Reference,Academic Research
The Real Deal - ED1 Pipeline Coverage (November 2025),https://therealdeal.com/la/2025/11/19/l-a-s-affordable-housing-fast-track-packs-pipeline/,Most current ED1 data: 42300 units filed and 31700 approved as of November 2025. More than double affordable approvals in the three years before ED1.,Talking Points / Dashboard (Build More),Trade Press
LAHD Homes for LA NOFA,https://housing.lacity.gov/,Largest affordable housing funding solicitation in city history. $394M+ across seven programs. Round 1 closed October 2025; Round 2 Spring 2026.,Talking Points / Inventory (Build More),Government Services
SEIU Local 99 Ratification Vote - April 2023,https://www.seiu99.org/2023/04/08/school-workers-at-lausd-vote-overwhelmingly-to-ratify-contract-agreement/,Primary source confirming overwhelming ratification of LAUSD contract with 30% raise lifting average salary from $25000 to $33000,Talking Points (Earn More),Government Labor Agreement
HACLA Project Labor Agreement,https://www.hacla.org/,Mayor Bass secured PLA covering all HACLA construction projects. Guarantees union wages local hire and apprenticeship opportunities on affordable housing construction citywide.,Talking Points (Earn More),Government Policy
Bisnow - ED1 Streamlining Process Now Permanent (December 2025),https://www.bisnow.com/los-angeles/news/multifamily/mayors-affordable-housing-streamlining-ordinance-now-permanent-132290,City Council unanimously approved Affordable Housing Streamlining Ordinance in December 2025 making ED1 framework permanent law.,Talking Points (Build More),Trade Press
LAHSA 2025 Homeless Count - USC Takeaways,https://today.usc.edu/homelessness-in-l-a-drops-for-second-year-in-a-row-4-takeaways-from-the-2025-count/,USC researchers confirmed second consecutive annual decline. Chronic homelessness down nearly 22% since 2023. 28000 people placed in permanent housing in 2024 — a record.,Talking Points / Dashboard (Care More),Academic / News
Mayor's Office - Mayfair Hotel Conversion,"https://www.latimes.com/california/story/2023-07-28/bass-plan-to-buy-mayfair-hotel-comes-with-a-big-price-tag#:~:text=Then%2DMayor%20Eric%20Garcetti's%20office,million%2C%20according%20to%20the%20report.",City-purchased former Mayfair Hotel on Skid Row converted to 294 units of permanent interim housing with on-site medical clinic. Flagship Inside Safe project.,Talking Points / Inventory (Care More),Government Policy
ULA Income Support Program - LAHD,https://housing.lacity.gov/,ULA ISP provides direct financial assistance to stabilize vulnerable renters. More than $57M committed. Designed to prevent displacement before it becomes eviction.,Talking Points (Protect More Rights),Government Services
Free Tax Prep LA - CIFD,https://communityinvestment.lacity.gov/,2024 results: 17400+ returns filed and $21.4M returned to low-income Angelenos. 45 locations. Free for households earning under $70000.,Talking Points / Campaigns (Save More),Government Services
